TUMOR_SAMPLE_BARCODE	idCCL	idCellState	idCELL	cell_sample_id	CELLS_PER_WELL	GROWTH_MODE	CULTURE_MEDIA	CELL_LINE	CELL_LINEAGE	is_hl	gender	taxonomy_id	primary_site_name	primary_hist_name	hist_subtype_1_name
CHP126_AUTONOMIC_GANGLIA	1	1	91	143	500	suspension	RPMI003	CHP126	AUTONOMIC_GANGLIA	0	F	9606	autonomic_ganglia	neuroblastoma	
CHP212_AUTONOMIC_GANGLIA	2	2	92	144	500	adherent	EMEM001	CHP212	AUTONOMIC_GANGLIA	0		9606	autonomic_ganglia	neuroblastoma	
IMR32_AUTONOMIC_GANGLIA	3	3	305	475	500	adherent	EMEM001	IMR32	AUTONOMIC_GANGLIA	0	M	9606	autonomic_ganglia	neuroblastoma	
KELLY_AUTONOMIC_GANGLIA	4	4	340	528	500	adherent	RPMI001	KELLY	AUTONOMIC_GANGLIA	0		9606	autonomic_ganglia	neuroblastoma	
KPNSI9S_AUTONOMIC_GANGLIA	5	5	374	571	500	adherent	RPMI001	KPNSI9S	AUTONOMIC_GANGLIA	0	M	9606	autonomic_ganglia	neuroblastoma	
KPNYN_AUTONOMIC_GANGLIA	6	6	375	572	500	adherent	RPMI001	KPNYN	AUTONOMIC_GANGLIA	0		9606	autonomic_ganglia	neuroblastoma	
MHHNB11_AUTONOMIC_GANGLIA	7	7	977	678	500	adherent	RPMI001	MHHNB11	AUTONOMIC_GANGLIA	0	M	9606	autonomic_ganglia	neuroblastoma	
NB1_AUTONOMIC_GANGLIA	8	8	476	720	500	adherent	RPMI001	NB1	AUTONOMIC_GANGLIA	0	M	9606	autonomic_ganglia	neuroblastoma	
NH6_AUTONOMIC_GANGLIA	9	9	578	852	500	adherent	ALPHAMEM002	NH6	AUTONOMIC_GANGLIA	0		9606	autonomic_ganglia	neuroblastoma	
SIMA_AUTONOMIC_GANGLIA	10	10	685	1030	500	adherent	RPMI001	SIMA	AUTONOMIC_GANGLIA	0	M	9606	autonomic_ganglia	neuroblastoma	
SKNAS_AUTONOMIC_GANGLIA	11	11	705	1051	500	adherent	DMEM012	SKNAS	AUTONOMIC_GANGLIA	0	F	9606	autonomic_ganglia	neuroblastoma	
SKNBE2_AUTONOMIC_GANGLIA	12	12	706	1052	500	adherent	EMEMF12001	SKNBE2	AUTONOMIC_GANGLIA	0	M	9606	autonomic_ganglia	neuroblastoma	
SKNDZ_AUTONOMIC_GANGLIA	13	13	707	1053	500	adherent	DMEM001	SKNDZ	AUTONOMIC_GANGLIA	0	F	9606	autonomic_ganglia	neuroblastoma	
SKNFI_AUTONOMIC_GANGLIA	14	14	708	1055	500	adherent	DMEM012	SKNFI	AUTONOMIC_GANGLIA	0	M	9606	autonomic_ganglia	neuroblastoma	
SKNSH_AUTONOMIC_GANGLIA	15	15	710	1058	500	adherent	EMEM001	SKNSH	AUTONOMIC_GANGLIA	0	F	9606	autonomic_ganglia	neuroblastoma	
HUCCT1_BILIARY_TRACT	16	16	288	455	500	adherent	RPMI001	HUCCT1	BILIARY_TRACT	0	M	9606	biliary_tract	carcinoma	
HUH28_BILIARY_TRACT	17	17	291	458	500	adherent	RPMI001	HUH28	BILIARY_TRACT	0		9606	biliary_tract	carcinoma	
SNU1079_BILIARY_TRACT	18	18	873	1082	500	adherent	RPMI001	SNU1079	BILIARY_TRACT	0		9606	biliary_tract	carcinoma	
SNU1196_BILIARY_TRACT	19	19	876	1085	500	adherent	RPMI001	SNU1196	BILIARY_TRACT	0		9606	biliary_tract	carcinoma	
SNU245_BILIARY_TRACT	20	20	884	1095	500	mixed	RPMI001	SNU245	BILIARY_TRACT	0		9606	biliary_tract	carcinoma	
SNU308_BILIARY_TRACT	21	21	886	1097	500	adherent	RPMI001	SNU308	BILIARY_TRACT	0		9606	biliary_tract	carcinoma	
SNU478_BILIARY_TRACT	22	22	893	1109	500	adherent	RPMI001	SNU478	BILIARY_TRACT	0		9606	biliary_tract	carcinoma	
SNU869_BILIARY_TRACT	23	23	909	1126	500	adherent	RPMI001	SNU869	BILIARY_TRACT	0		9606	biliary_tract	carcinoma	
